text,label
කතා කරන්නත් නිදහසක් නැති රටක්,0
හැමෝම සමගියෙන් වැඩ කරනවා ඔබ සැමටම බුදුසරණයි red_heart,2
parana jokes ayeth recycle karala hithan inne api modayo kiyalada,0
ඒකනම් පට්ටම පට්ටසුපිරී red_heart smiling_face_with_hearts,2
great to see bappy bhai collabing with freecodecamp clapping_hands clapping_hands raising_hands raising_hands,2
මේ චැනල් එකෙන් පතුරවන්නේ වෛරය විතරයි,0
භය වෙන්න එපා ටීචර් අපි ඔයත් එක්ක ඉන්නව,2
thank you red_heart,2
almost an hour in and im loving it thank you very much,2
gehan blok looks like a teenager face_with_tears_of_joy face_with_tears_of_joy yako apitath keyapan rahasa face_with_tears_of_joy face_with_tears_of_joy,2
සුපිරියක්,2
ඕ face_with_tears_of_joy,1
ඉන්දියාව වගේ දැන් ලංකාවෙත්මාපියාවක් වෙලා,0
me manussaya nam deiyek minissunta me tharam adaren katha karana başka kenek na,2
ou ban matat ahema hithuna,0
hamadamath kollo tika supiriyak party_popper party_popper red_heart,2
උම්බෑ කියපන් tv බලන්නෙ කව්ද youtube තියෙද්දි ඊයා ගොඩයා face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,0
ඔයාලා දැන් මිනිස්සුන්ගේ දුර්වලකම් වලින් ප්රයෝජන ගන්නවා,0
commercial bank rfc account ekakata mama ganne,1
කතාව අමතක වෙන්න කලින් දෙවනි කොටස දාපල්ලා,0
heart_with_ribbon heart_with_ribbon heart_with_ribbon heart_with_ribbon heart_with_ribbon,2
මේක බලලා ඉවරවෙනකොට මට තවත් ප්රශ්න ඇතිවෙනවා,0
මේකේ තියෙන සමහර දේවල් හරිම අවලස්සනයි,0
මේ මාත් ඉන්නෝ මග බලාගෙන,1
සිරිල් අයියගෙ video වෙනම ආතල් එකක් red_heart face_with_tears_of_joy,2
godak lassani asawen ahuwa wada karana gaman,2
hin wel wtrk mdi subscribe krmuki,1
ඊයා ඔයා හරිම කැත පිරිමි ලමයෙක් face_with_tears_of_joy,0
සිරිල් අයිය වැඩක් කලොත් ඉතින් පට්ට තමයි face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy red_heart red_heart red_heart red_heart,2
make a separate playlist for this channel playlist containing less videos might help just a diwali tip,1
mr house keeping movie එක දෙන්නකො,1
as always,2
ela ela,2
thank you for this video im a beginner to system design and this video covered all the basic concepts very well,2
නිෂි ox,0
ithuru kotas th danmama balanwa video dekama eka digatama balanwa smiling_face_with_smiling_eyes red_heart,1
එකම රග්බි ටීම් එකේ හැබැයි ස්කෝල කින් rolling_on_the_floor_laughing broken_heart i felt it gold ප්ලේට තුවක්කුව දුමි දි rolling_on_the_floor_laughing broken_heart,2
මේකේ තියෙන සමහර දේවල් හරිම අපරික්ෂාකාරීයි,0
eka supiriyak chamoooo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy red_heart red_heart red_heart red_heart,2
සියලුම හ්රර්ද රෝගින්ට ඉක්මන් සුවය ලැබේවා red_heart,2
ගැම්මක් red_heart red_heart drooling_face face_savoring_food,2
wow red_heart red_heart,2
මිනිස්සුන්ට සමාජ මාධ්ය විතරයි පිහිට අපි සමාජ මාධ්ය හොදින් පරිහරණය කරමු ඔය වගෙ බල්ලොන්ට කරන්න පුළුවන් හොද දෙ එක,2
this is exactly what everyone is looking for and absolutely top notch explanation and i have never seen someone explain about sd concepts so simply clearly,2
ඒ කාලේ අඬ අඬා අහපු කතාවක්,0
උබලා මිනිස්සු විස්වාස කරනව ද බන් face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,1
විනී නියමයි අදමයි දැන ගත්තෙ කොමෙන්ට් එක දෙපාරක් ටච් කරාම ලයික් වැටෙන බව red_heart,2
comment eka kiyawanna apu set eka like ekak daagena yamu face_with_tears_of_joy,1
oww aka attha ara charitha tika nam maru,2
eyi ane muta me kellekuta kane park denda beri muwa dakinakitath face_vomiting face_vomiting face_vomiting face_vomiting,0
ආපු ගමන් ම බැලුවා red_heart smiling_face_with_smiling_eyes,2
me film eka balanawata wada hondai nikan inna eka,0
comeds කියවන්න අපු අය කෝ face_savoring_food face_savoring_food face_savoring_food face_savoring_food thumbs_up i red_heart wasthi,2
මේක බලලා ඉවරවෙනකොට මට පිස්සු හැදෙනවා වගේ,0
ela ela red_heart red_heart red_heart red_heart party_popper,2
i am very happy to see this type of thing from sri lankan youtube channels red_heart,2
ammo,1
great work thumbs_up clinking_glasses,2
face_with_tears_of_joy,1
kdj party_popper party_popper red_heart,2
specially bit karana aya wenuwen karanna puluwannam hodai thanksdocfacepurplewideeyes,2
bou buttu bhuta review ekak one,1
ඊයේ විව්ස් නෑ inside රොෂාන් අයියා මුලින් දාලා තිබ්බාඅපි ඔය දෙන්නගෙම විඩියෝ බලනවාමුලින් ඔයා දැම්මත් එයා දැම්මත් බලනවාආදරෙයි රූ red_heart red_heart,2
aniw සබ්ස්ක්රයිබ් කරන් යන්,1
මරේ මරු හොදේ,2
rohana priyamantha piris,1
thank you for your service god bless you,2
thumbnail eka balala rawatenna epa yaluwane athule wena ekak thiyenne,0
anee marjaavaan hindi movie ek dennko plz,1
woow face_savoring_food face_savoring_food,2
face_with_tears_of_joy,1
කතාව බලන එක එදාම නවත්තනවා මූට නම් මේකි ලෑස්ති උනොත් crying_face,0
වීඩියෝ දාන්න පරක්කුයි ඒකයි අඩුපාඩුව red_heart,0
good keep going,2
thanks aiye red_heart,2
වීඩියෝ එක පුරාම තියෙන්නේ sponsor ට කඩේ යන එක විතරයි,0
you have successfully make me stay focused in studying smart and further boss thanks for igniting this new focus in me this is a very basic for some people but for me its a full simple beginning,2
පව් ඒ ගර්ල් crying_face,0
please share your notes taking app,1
දැන් තමයි කතාවෙ හොද ටික පටන් ගන්නේ නෝරා එයාගේ මහත්තයාව මරපු කෙනා ඉස්සරහට කියාවි වගේ face_with_open_mouth,2
bro oyage explanation eka aulen aulata yanawa mulin kiyapu detath wada anthimata kiyana de wenas,0
බෙන් දහය ඕනෙ,0
chama balangoda rich papa eke chicken chees kottuwa try karanna,1
old is gold pleading_face growing_heart,2
poddak wada wadi me tike campus eke red_heart red_heart,1
ආදර්ශමත් කතාවක් දුන්න එකට respect vini mending_heart party_popper fire ok_hand,2
කොහමද බලන්නෙ crying_face crying_face,1
ඔව් අද මෙලෝ රහක් නෑ,0
ekanam aththa wen walpal wadaka naa,0
me toooo red_heart,2
aniwaa bn,2
hallow face_with_tears_of_joy red_heart,2
කිසිම අඩු පාඩුවක් නෑ relieved_face,2
පට්ට කොල්ලා මගේ සහෝදරයෙක් එහෙම උනානම් ඌත් එක්ක රණ්ඩු වෙන්න තමයි වෙන්නෙ face_with_tears_of_joy face_with_tears_of_joy,2
july wala meka balana kawda inne hit ekak daan yanna,1
ado uba jaela koheda bn chamo mamath jaela smiling_face_with_smiling_eyes,1
බොහොම වැදගත් මාතෘකාවක් red_heart,2
me wage amathaka wela yana songs ayeth ahanne oyala nisa thanks,2
master film eka denna,1
අම්බෝ ඒක beaming_face_with_smiling_eyes grinning_squinting_face,2
ol al දැන් uni ok_hand red_heart නියමයි collision,2
ගොඩක් ස්තුතියි හොඳට තේරෙන්න කියලා දෙනව folded_hands red_heart,2
ok_hand red_heart ok_hand red_heart ok_hand red_heart ok_hand red_heart ok_hand red_heart ok_hand red_heart,2
aniwa,2
crying_face crying_face pensive_face pensive_face crying_face,0
බළ පුළුවන් කාර කමට විතරයි ලංකාවේ තැනක් තියෙන්නේ,0
anith episode ekath ikmanata dennakoo,1
hi red_heart,1
කෑල්ලත් එක්ක සැපේ ඇති නේ face_with_open_mouth,1
ado mamth balanne,2
පුළුවං නම් මේ වගේ දිගටම ඉක්මනටම film අරන් එන්නනැති දවසට මහ අමුතුම අඩුවක් දැනෙන්නෙඒ තරමටම addict වෙලා ඉන්නෙ smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes smiling_face_with_smiling_eyes,2
ඔය එකමගුලක්වත් වැඩක් නෑ සේනක දූල්ලෑවෙ මැරුවෙ කවුද කියලා cid දලා හරි හොයලා මේක ඉක්මනින් ඉවරකරලා දානවානම් හරි,0
සිරිමත් පකයෙකි නරක ලමයෙකි face_with_tears_of_joy ලමයෙකි,0
great primer for product manages who work with engineering team and need to understand basic system design concepts thanks for such a great resource,2
elaa athtma el smiling_face_with_smiling_eyes,2
ඒක මරු face_with_tears_of_joy face_with_tears_of_joy,2
commmeee onnnn man do ittttt,2
ේ බන් නොටිෆි ආව ගමන් බැලුවා ලයික් යි කමෙන්ට් නෑ පොඩි මිස් ප්ලේස් එකක් උනේ සික්නල් අව්ලක් ඉතින් ගහන්න හදනෝනේ ඉතින් downcast_face_with_sweat sneezing_face mending_heart,1
thank you for your valuable discription red_heart,2
ow daksha naluwek red_heart,2
backend valata aluthin trend vena languages monda sir,1
sara nevei ben oniben red_heart red_heart red_heart,0
maru a,2
මූට මුකුත් නැති කාලේ කාලේ ඉදලම හිටියෙ මේකි අන්තිමට මේකිව අත් ඇරිය broken_heart,0
i think they deleted those comments,1
devops path eka gena mama video ekak karannam,1
මෙය සර් හරි පාරෙන් යන්නට කියලා දෙනවා ඔබට බුදු සරණයි red_heart red_heart red_heart,2
eyes heart_suit manikh,2
adare newei moka unath wenas wenawa yaluwo pawapanata pana de gena hitiyath,0
අනේ දිගටම share market එක ගැන දිගටම කියලා දෙන්න සර් pls smiling_face_with_hearts folded_hands මම share market එකට අලුත් කනට මී පැණි දානවා වගේ සර්ගේ කාරුණික කථා බහ කියන ඒවත් මතක හිටිනවා smiling_face_with_hearts smiling_face_with_hearts smiling_face_with_hearts smiling_face_with_hearts,2
පට්ට red_heart red_heart red_heart red_heart red_heart,2
අයියාhnd it කරාට දැන් තේරුමක් නැතිවෙයිද ගොඩාක් degree තියන කට්ටිය ඉන්න නිසා hnd එකකින් job එකක් ලැබෙන්ඩ තියන සම්භාවිතාව ඉතා අඩුයි නේද ඊට වඩා open එකේ bsc it degree එක කරන එක හොදයිද,1
oya kiyana de hari wennathi eth kiyana widiha ahenna asahanadai,0
everything is on point this is the best video i have seen so far on system design each and every diagram explanations was on point appreciate your work keep it up,2
oya wage minissu nisa thamai youtube balana ekath epa wenne,0
ඉතා පැහැදිලිය් thank you sir red_heart red_heart,2
na faclty ka anuwa ne sudda,1
ඉගුරු නෙවෙයි යකෝව් ඉරිගු face_with_open_eyes_and_hand_over_mouth woozy_face,1
index_pointing_up face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,2
ගොඩක් පිං මාමේ අද කාලේ ඔබ වගේ මිනිස්සු හරි aduii ඇත්තටම සතුටුයි red_heart folded_hands,2
respect api ekka duty krna mahathyek red_heart,2
he smiling_face_with_smiling_eyes,2
බොහොම ස්තූතිය ඔබතුමාට හරවත් දැනුම සරලව නිවැරැදි ව අප වෙත කියාදෙනවට red_heart,2
