text,class

👐👐👐,neutral
The kota 😢,negative
මෙතරම් ඉක්මනින් නැරඹුම් වාර ප්‍රමාණය යඉහල යෑමෙන් පෙනී යන්නෙ කොටාගේ වීඩියෝ පිපාසයෙන් සිටින්නේ මා පමණක් නොවන බවයි😮😊,positive
Yoooooh,neutral
සුපිරියක් තමයි ඉස්සර වගේ ගැම්මක් අල්ලමු ❤️🎉,positive
28:54 blur කරලා නැ😂,neutral
"වෙනම level එකක් , වෙනම වෙනසක් ,වෙනම ගැම්මක් , වෙනම brand එකක්...❤️‍🔥❤️‍🔥",positive
I was a sick 😢 . i also admitted to the hospital till next month. here so stressfull for my mind. i ll just relax for a few minutes watching The kota s video s. thanks a lot man. much love all of you boys & girls❤️‍🔥,positive
ගින්දර හොයා ගන්න කලින් ලැව් ගිනි ඇති වෙලා තියනව උල්කාපාත කඩා වැටීමෙන්ද ගිනි ඇති වෙලා තියනව ඒත් අපිට උවමනා පරිදි ගින්දර භාවිතයට ක්‍රමයක් හොයා ගැනීමයි ගින්දර හොයා ගැනීම යනුවෙන් ව්‍ය්වහාර වෙන්නෙ එය හොයා ගන්නා ලද්දෙ හෝමෝ ඉරෙක්ටස් යන මානවයායි සැලකේ (හෝමෝ ඉරෙක්ටස් යනු මෙය හොයාගත් පොරගෙ නම නෙවෙයි එකල මානව විශේෂය හැදින්වූ නමකි වර්ථමාන මානවයා හෝමෝ සේපියන් ලෙස හදුන්වනවා මෙන්) ....ඉවරයී,neutral
10:56 ගැස්ට නෙ😅,neutral
Adoo කොටො මත් කොටයි😂😂,positive
28:54 Blur කරන්න අමතක උනාද කසූන් 😂,neutral
අදත් සුපිරියක්❤,positive
"The kota ❎
track king ✅",positive
Kota ට Pink T Shirt ලස්සනයි 😂❤,positive
අඩෝ අර අන්තිමට හිටපු අක්කා ඉවරයි bn:face-blue-smiling::face-blue-smiling:,neutral
"Kota our meme king..
Uba mge hadawathe eka kotoo❤❤🎉",positive
Adw uba apita thama maharagamadi set une 😂💔 adarei ❤️,positive
18:36 super ශිවා,positive
Hi😏,neutral
😮,neutral
Hey whazzup....Dry zone Elephant🤧❤,neutral
​@NidukaDenethnimnada thats racist😭🙏🏻,negative
Frr😩,neutral
Shanna posiya 😱,neutral
අපි ඉවරයි අයියේ,negative
ah patiyooo.....kohomada?,neutral
Patta balli awith❤😂,positive
yo,neutral
kasun should be sued.,negative
Get well soon brh😢,positive
Get well soon brdh ❤,positive
Godak durata akunak wadila giniganna gahakin gindara gaththa wenna puluwan,neutral
Oyaage ge  paiya digai da  asaii kayee daa ganna,negative
"මාත්   ❎
    මගෙත්    ✅",neutral
අඩො අඩො😂😂,positive
